Groupe;Nom_évalué;Prenom_évalué;Courriel_évalué;Bareme;Note_aspect;Note_calc;Note_modif;Note;MNG;Facteur;Commentaires;Nom_évaluateur;Prenom_évaluateur;Commentaires_generaux
EQUIPE1_ELE795;etudiant12;etudiant12;etudiant12@etsmtl.ca;"Organisation du travail d’équipe";3;50;60;60;46,25;1,297297;Autoévaluation;etudiant12;etudiant12;"Commentaire general&nbsp; Autoévaluation"
EQUIPE1_ELE795;etudiant12;etudiant12;etudiant12@etsmtl.ca;"Composition avec les différences individuelles";3;50;60;60;46,25;1,297297;Autoévaluation;etudiant12;etudiant12;"Commentaire general&nbsp; Autoévaluation"
EQUIPE1_ELE795;etudiant12;etudiant12;etudiant12@etsmtl.ca;"Aptitude à proposer des solutions";3;50;60;60;46,25;1,297297;Autoévaluation;etudiant12;etudiant12;"Commentaire general&nbsp; Autoévaluation"
EQUIPE1_ELE795;etudiant12;etudiant12;etudiant12@etsmtl.ca;"Esprit d’équipe";3;50;60;60;46,25;1,297297;Autoévaluation;etudiant12;etudiant12;"Commentaire general&nbsp; Autoévaluation"
EQUIPE1_ELE795;etudiant12;etudiant12;etudiant12@etsmtl.ca;Présence;3;50;60;60;46,25;1,297297;Autoévaluation;etudiant12;etudiant12;"Commentaire general&nbsp; Autoévaluation"
EQUIPE1_ELE795;etudiant12;etudiant12;etudiant12@etsmtl.ca;"Quantité de travail";3;50;60;60;46,25;1,297297;Autoévaluation;etudiant12;etudiant12;"Commentaire general&nbsp; Autoévaluation"
EQUIPE1_ELE795;etudiant12;etudiant12;etudiant12@etsmtl.ca;"Qualité du travail";3;50;60;60;46,25;1,297297;Autoévaluation;etudiant12;etudiant12;"Commentaire general&nbsp; Autoévaluation"
EQUIPE1_ELE795;etudiant12;etudiant12;etudiant12@etsmtl.ca;"Organisation du travail d’équipe";3;50;60;60;46,25;1,297297;"Étudiant13 évalue Étudiant12";etudiant13;etudiant13;"Commentaire general Étudiant13 évalue Étudiant12"
EQUIPE1_ELE795;etudiant12;etudiant12;etudiant12@etsmtl.ca;"Composition avec les différences individuelles";3;50;60;60;46,25;1,297297;"Étudiant13 évalue Étudiant12";etudiant13;etudiant13;"Commentaire general Étudiant13 évalue Étudiant12"
EQUIPE1_ELE795;etudiant12;etudiant12;etudiant12@etsmtl.ca;"Aptitude à proposer des solutions";3;50;60;60;46,25;1,297297;"Étudiant13 évalue Étudiant12";etudiant13;etudiant13;"Commentaire general Étudiant13 évalue Étudiant12"
